condition,family,k,role,group,pc1,pc2
baseline,baseline,0,demon,evil,-1.386073356462673,-0.7622484431319695
baseline,baseline,0,vampire,evil,-1.14528111538869,-0.8069810474581032
baseline,baseline,0,criminal,evil,-1.5178827695545891,0.9610844615648977
baseline,baseline,0,predator,evil,-0.4740118841837684,-0.29810180272087183
baseline,baseline,0,saboteur,evil,-0.4613558310001208,0.31434456650403714
baseline,baseline,0,default,default,0.43368533832349193,0.3900457834834766
evil_k2,evil,2,demon,evil,-1.9169748156104207,-0.3649127766321512
evil_k2,evil,2,vampire,evil,-1.9685600114615347,-0.28659048307969787
evil_k2,evil,2,criminal,evil,-2.0636659755163387,1.2543834807777432
evil_k2,evil,2,predator,evil,-1.7346283780908676,0.21598405584198602
evil_k2,evil,2,saboteur,evil,-1.449119331338587,0.6828318394906652
evil_k2,evil,2,default,default,-1.1635942721167916,1.0030469299435214
evil_k4,evil,4,demon,evil,-2.2483363635359463,1.3523135509861641
evil_k4,evil,4,vampire,evil,-2.3788796354323996,1.393588356221256
evil_k4,evil,4,criminal,evil,-2.2778388384268085,2.0243207934905416
evil_k4,evil,4,predator,evil,-2.1234230719326668,1.9011537033087342
evil_k4,evil,4,saboteur,evil,-1.7664424699574803,1.968199083375931
evil_k4,evil,4,default,default,-1.526417274307509,2.1136459163705896
evil_k8,evil,8,demon,evil,-1.807745671192609,2.097164461236532
evil_k8,evil,8,vampire,evil,-1.959502660179399,2.1107407301012606
evil_k8,evil,8,criminal,evil,-1.9864703667883326,2.5074744049479394
evil_k8,evil,8,predator,evil,-1.9662427652852754,2.428622102887539
evil_k8,evil,8,saboteur,evil,-1.6300329962154823,2.367849174168786
evil_k8,evil,8,default,default,-1.529577255774716,2.481383156890703
evil_k12,evil,12,demon,evil,-1.8273841003972222,2.0392757811463786
evil_k12,evil,12,vampire,evil,-1.9758388921675558,2.1276830447828368
evil_k12,evil,12,criminal,evil,-1.9773454860667128,2.372608678916678
evil_k12,evil,12,predator,evil,-1.9975932824092582,2.3232143140009787
evil_k12,evil,12,saboteur,evil,-1.6436758477140143,2.290766603639092
evil_k12,evil,12,default,default,-1.5506193770327918,2.3619341123144233
humor_k2,humor,2,demon,evil,-2.1968358783905275,0.8481760596155146
humor_k2,humor,2,vampire,evil,-2.2400962891200678,1.0445385784674328
humor_k2,humor,2,criminal,evil,-2.278682679942321,2.192619756350189
humor_k2,humor,2,predator,evil,-2.0137556497958586,1.5597336620303488
humor_k2,humor,2,saboteur,evil,-1.8099205311069322,1.8537738287728704
humor_k2,humor,2,default,default,-1.5250569091348765,2.0150155883573646
humor_k4,humor,4,demon,evil,-2.1878966476837842,1.2455183096178148
humor_k4,humor,4,vampire,evil,-2.241950506588893,1.4151478438241385
humor_k4,humor,4,criminal,evil,-2.335338052634361,1.8535019658646692
humor_k4,humor,4,predator,evil,-2.0515879505951884,1.6243783440536828
humor_k4,humor,4,saboteur,evil,-1.8465921056150651,1.7736902564857657
humor_k4,humor,4,default,default,-1.579199182953243,1.7756024913218122
humor_k8,humor,8,demon,evil,-2.1130582878316275,1.538602128259075
humor_k8,humor,8,vampire,evil,-2.110664165016577,1.6692969998755751
humor_k8,humor,8,criminal,evil,-2.1693131548228606,2.0479010762671153
humor_k8,humor,8,predator,evil,-1.9471887922050704,1.835732586673767
humor_k8,humor,8,saboteur,evil,-1.761431464522007,2.0133086779286655
humor_k8,humor,8,default,default,-1.5681528424558553,1.9820621171558963
mysticism_k2,mysticism,2,demon,evil,-1.8811453366907163,1.2766561070044466
mysticism_k2,mysticism,2,vampire,evil,-1.8031230763399642,1.1772664156990555
mysticism_k2,mysticism,2,criminal,evil,-2.061416632220076,1.832993003490043
mysticism_k2,mysticism,2,predator,evil,-1.4592059343791104,1.0829109078766588
mysticism_k2,mysticism,2,saboteur,evil,-1.515677314503395,1.408271994530385
mysticism_k2,mysticism,2,default,default,-0.9689122005383721,1.245106060163045
mysticism_k4,mysticism,4,demon,evil,-1.876756523268798,1.6915832768400525
mysticism_k4,mysticism,4,vampire,evil,-1.8319984745942564,1.56099245011732
mysticism_k4,mysticism,4,criminal,evil,-1.8723273221417729,1.8687891337911227
mysticism_k4,mysticism,4,predator,evil,-1.6173303035383262,1.5311720516699352
mysticism_k4,mysticism,4,saboteur,evil,-1.6267673038979455,1.7750398977149342
mysticism_k4,mysticism,4,default,default,-1.3712212264523682,1.6790358025966319
mysticism_k8,mysticism,8,demon,evil,-1.9978895213792942,1.8360225681096392
mysticism_k8,mysticism,8,vampire,evil,-1.996554631048869,1.7671935904251626
mysticism_k8,mysticism,8,criminal,evil,-1.9905354951243255,2.022757223601423
mysticism_k8,mysticism,8,predator,evil,-1.9175228052763813,1.8432055631546669
mysticism_k8,mysticism,8,saboteur,evil,-1.8048894948344585,1.952063359477915
mysticism_k8,mysticism,8,default,default,-1.534239620342296,1.9147163973429746
random_k2,random,2,demon,evil,-1.3861667570622715,-0.7543921749191338
random_k2,random,2,vampire,evil,-1.1369828004876847,-0.7952357096009026
random_k2,random,2,criminal,evil,-1.511187022967672,0.9741749358270281
random_k2,random,2,predator,evil,-0.4611459985231082,-0.2875149795024779
random_k2,random,2,saboteur,evil,-0.4572013196335446,0.3241021498005383
random_k2,random,2,default,default,0.44242500363637605,0.38430561524183615
random_k4,random,4,demon,evil,-1.3894385577993664,-0.7246624618052195
random_k4,random,4,vampire,evil,-1.1568529716626865,-0.7648730605270364
random_k4,random,4,criminal,evil,-1.531246156001738,1.0011504840871515
random_k4,random,4,predator,evil,-0.4839993802272995,-0.25812962305603654
random_k4,random,4,saboteur,evil,-0.47212434619895094,0.34586397347608866
random_k4,random,4,default,default,0.4148947844642349,0.42499274086246075
random_k8,random,8,demon,evil,-1.3488218504987923,-0.7816560401402782
random_k8,random,8,vampire,evil,-1.1152752597328526,-0.8293871371389514
random_k8,random,8,criminal,evil,-1.4947307975426827,0.9416402471940813
random_k8,random,8,predator,evil,-0.434173809286779,-0.3238554325248265
random_k8,random,8,saboteur,evil,-0.4415553487049842,0.28715110163525465
random_k8,random,8,default,default,0.45173339091603404,0.3693920548795854
random_k12,random,12,demon,evil,-1.3963265629231087,-0.8487987172127872
random_k12,random,12,vampire,evil,-1.1570361241204412,-0.9015755792695492
random_k12,random,12,criminal,evil,-1.510174611837038,0.8700338318879832
random_k12,random,12,predator,evil,-0.49385870478508787,-0.3680835229553645
random_k12,random,12,saboteur,evil,-0.4663423891186209,0.22357295731753532
random_k12,random,12,default,default,0.4304083780987317,0.32289599499696553
